team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Alabama A&M,Mississippi Valley State,86,73,2015-01-10,0,False,True,134.4,114.1,64.2,.633,.367,.675,50.8,26.9,7.8,2.3,.633,11.2,40.0,.490,.508,14.9,58.8,.180
Alabama A&M,Arkansas-Pine Bluff,51,48,2015-01-12,0,False,True,89.5,84.2,57.4,.294,.451,.439,44.6,64.7,5.3,2.6,.422,17.1,29.7,.157,.469,18.3,64.3,.063
Alabama A&M,Alabama State,56,59,2015-01-17,0,False,False,82.4,86.8,67.6,.236,.455,.458,52.8,57.1,2.9,4.3,.455,25.6,39.4,.109,.431,15.0,64.1,.155
Alabama A&M,Southern,58,65,2015-01-24,0,False,False,86.6,97.0,67.2,.279,.410,.420,53.6,63.6,13.4,15.4,.418,17.8,40.5,.115,.436,17.5,74.1,.511
Alabama A&M,Alcorn State,78,66,2015-01-26,0,False,False,105.4,89.2,74.3,.574,.278,.567,54.7,81.5,6.8,6.3,.556,16.9,35.7,.333,.397,12.0,66.0,.176
Alabama A&M,Prairie View A&M,63,89,2015-01-31,0,False,True,81.8,115.6,77.0,.491,.281,.448,53.0,39.1,10.4,0.0,.412,23.0,38.9,.281,.608,16.3,70.0,.154
Alabama A&M,Texas Southern,65,68,2015-02-02,1,False,True,100.0,104.6,57.8,.235,.250,.430,53.8,37.5,13.8,12.5,.382,8.5,43.2,.191,.549,17.9,67.9,.235
Alabama A&M,Mississippi Valley State,74,68,2015-02-07,0,False,False,98.7,90.7,75.5,.475,.441,.512,50.0,66.7,10.7,3.6,.483,16.2,34.2,.288,.449,18.4,64.3,.103
Alabama A&M,Arkansas-Pine Bluff,42,56,2015-02-09,0,False,False,70.0,93.3,60.2,.651,.465,.373,55.6,66.7,11.7,16.0,.302,22.1,39.3,.372,.478,18.2,73.1,.289
Alabama A&M,Alabama State,80,71,2015-02-14,0,False,True,112.7,100.0,71.0,.607,.339,.554,50.0,50.0,8.5,5.0,.518,11.1,32.3,.393,.466,14.6,66.7,.271
Alabama A&M,Southern,63,72,2015-02-21,0,False,True,95.5,109.1,65.7,.436,.382,.474,50.0,38.1,15.2,10.3,.427,10.8,35.5,.291,.559,15.0,63.6,.102
Alabama A&M,Alcorn State,73,69,2015-02-23,0,False,True,104.3,98.6,70.1,.464,.339,.534,55.2,41.7,4.3,2.3,.482,10.5,30.3,.339,.411,6.2,79.4,.290
Alabama A&M,Prairie View A&M,72,75,2015-02-28,0,False,False,105.9,110.3,67.9,.532,.371,.463,57.1,50.0,5.9,7.7,.379,12.4,48.6,.403,.500,11.8,66.7,.442
Alabama A&M,Texas Southern,75,77,2015-03-02,0,False,False,113.6,116.7,66.5,.478,.435,.664,54.3,64.0,6.1,7.5,.620,21.0,29.4,.391,.582,14.6,69.0,.236
Alabama A&M,Jackson State,54,72,2015-03-05,0,False,True,85.7,114.3,62.8,.333,.529,.457,33.8,66.7,7.9,2.4,.382,18.0,25.0,.294,.536,16.6,44.8,.214
Alabama A&M,Grambling,70,66,2015-03-07,0,False,True,101.4,95.7,69.2,.397,.190,.467,53.7,66.7,13.0,5.3,.421,12.8,43.2,.270,.483,16.5,66.7,.172
Alabama A&M,Southern,60,64,2015-03-12,0,True,False,88.2,94.1,67.9,.391,.370,.550,45.8,59.1,11.8,10.0,.522,23.8,20.8,.261,.523,22.3,70.8,.442
Alabama,Towson,82,54,2014-11-14,0,False,False,122.4,80.6,66.6,.302,.365,.569,50.8,58.6,20.9,31.0,.516,10.0,40.0,.270,.430,26.9,60.6,.220
Alabama,Western Carolina,80,74,2014-11-17,0,False,False,114.3,105.7,69.7,.857,.347,.580,52.9,39.1,10.0,9.7,.490,17.9,43.8,.653,.500,16.8,61.1,.254
Alabama,Southern Mississippi,81,67,2014-11-20,0,False,False,120.9,100.0,67.0,.429,.388,.687,64.7,46.4,7.5,16.7,.663,19.2,31.6,.327,.491,11.1,84.4,.283
Alabama,Iowa State,74,84,2014-11-24,0,True,False,97.4,110.5,76.1,.186,.429,.486,44.8,59.3,9.2,0.0,.457,10.6,16.7,.143,.670,20.0,90.9,.340
Alabama,Arizona State,76,71,2014-11-25,0,True,False,108.6,101.4,69.6,.580,.440,.596,48.3,28.6,7.1,11.4,.500,12.4,15.4,.520,.491,11.5,75.0,.241
Alabama,South Florida,82,71,2014-12-02,0,False,False,107.9,93.4,76.5,.397,.397,.548,54.3,66.7,13.2,0.0,.492,17.6,39.5,.317,.554,24.4,71.9,.161
Alabama,Xavier,84,97,2014-12-06,0,False,True,113.5,131.1,74.3,.453,.434,.652,40.4,57.1,8.1,3.1,.623,20.9,19.2,.340,.670,14.6,61.5,.491
Alabama,Tennessee Tech,65,53,2014-12-13,0,False,False,110.2,89.8,58.6,.897,.359,.584,48.3,52.9,11.9,5.4,.513,13.9,31.8,.641,.394,17.4,58.3,.231
