Name,PPG,TPG,opp3,FPG,TOF,TO,REB,FTPG,perc3
South Carolina St.,59.5,5.6,35.9,17.54545455,13.27272727,12.45454545,-2.9,11.18181818,30.4
South Dakota,70,6.4,35.9,18.27272727,11.72727273,11.27272727,1.8,14.39393939,36
South Dakota St.,73.4,8,36,19.74285714,12.31428571,11.4,1.7,15.88571429,38.3
South Florida,61.6,4.3,36,19.03125,12.25,13.625,-1.7,10.75,30.4
Southeast Missouri St.,69.6,6.3,36.1,19.93333333,13.76666667,13.13333333,0.4,13.8,34.2
Southeastern Louisiana,68.3,5.8,36.1,18.4375,13.40625,15.375,-1.7,12.09375,31.3
Southern,64.5,4.3,36.2,20.05714286,13.82857143,13.2,-0.3,14.48571429,31
Southern Illinois,59.6,4.2,36.1,18.33333333,13.21212121,12.78787879,1.6,14.18181818,33
Southern Mississippi,60.1,6.3,36.1,15.48275862,12.86206897,14.06896552,-4.4,11.13793103,33
Southern Utah,69.3,7.2,36.2,22.44827586,11.10344828,13.55172414,-2.8,13.82758621,39.1
St. Bonaventure,67.3,5.1,36.2,17.25806452,12.93548387,12.38709677,4,14.87096774,31.4
St. Francis NY,69.1,5.6,36.2,18.37142857,13.45714286,13.11428571,6.7,15.68571429,29.5
St. Francis PA,64.4,7.1,35.5,15.84375,13.03125,12.4375,-2.9,12.09375,33.4
St. John's,71,6,36.2,17.78787879,13.21212121,10.66666667,-3.8,14.39393939,34.8
Stanford,72.3,6.6,36.2,19.13513514,11.45945946,10.78378378,4.2,16.59459459,37.8
Stephen F. Austin,78.6,7.7,35.8,21.58823529,17.26470588,14.02941176,5.4,17.29411765,37.9
Stetson,66.6,6.2,36.3,17.48387097,11.12903226,12.38709677,-4.3,12.35483871,32.9
Stony Brook,65.4,5.5,36.3,16.51428571,11.42857143,11.88571429,8.3,12.25714286,33.2
Syracuse,67.6,5,36.4,15.16129032,14.06451613,11.90322581,1.5,13.38709677,30
TCU,68.2,4.5,36.4,20.63636364,13.06060606,11.96969697,2.6,15.66666667,32.7
Temple,65.8,6.4,36.5,17.08108108,12.2972973,9.513513514,1.1,14.45945946,30.4
