Name,TOFP,TOP,POSS,REBD,FTD,Three_D,REB,REBO,Three_O,FTO
Hofstra,0.172359,0.136584,71.2015,0.739906,0.270957,0.339089,0.516451,0.314667,8.91177,23.1737
Butler,0.171544,0.144146,67.1022,0.76992,0.236818,0.306557,0.541412,0.311725,5.64706,23.0553
Evansville,0.173362,0.172895,68.1193,0.740076,0.225634,0.355283,0.504281,0.223542,4.28571,24.6626
Iowa,0.162012,0.143398,66.6779,0.719534,0.214337,0.326149,0.528631,0.336431,5.64706,23.7313
Florida A&M,0.15493,0.190933,67.7772,0.658703,0.251596,0.35122,0.451232,0.223176,4.10345,18.7226
Oregon,0.142954,0.146627,70.3461,0.711588,0.26089,0.332362,0.503249,0.28222,7.37143,18.7238
SIU Edward,0.170241,0.177328,68.3716,0.699257,0.260806,0.360934,0.483203,0.258809,6.69231,19.52
Harvard,0.176771,0.157074,63.7009,0.756039,0.23519,0.34,0.520307,0.31401,4.67857,22.7626
Florida,0.188837,0.167875,64.7061,0.733122,0.260855,0.327553,0.508593,0.305169,6.60606,16.438
TN Tech,0.163725,0.172441,69.0732,0.730909,0.295911,0.36773,0.528361,0.350333,5.64286,19.6996
Oklahoma St,0.179499,0.163159,66.3222,0.694933,0.287113,0.342967,0.478429,0.245614,6.96774,22.2278
N Mex State,0.178421,0.181843,64.568,0.715037,0.232332,0.307888,0.544521,0.394072,4.6875,24.7317
Seton Hall,0.15292,0.15723,68.1819,0.678427,0.273366,0.29982,0.505173,0.323359,6.87097,20.6279
TX Southern,0.157328,0.168161,68.1939,0.683721,0.240576,0.344029,0.499791,0.302415,5.28571,23.8396
Penn State,0.153172,0.156182,68.5456,0.720401,0.295729,0.325879,0.49668,0.279221,6.67647,19.5662
Georgia St,0.196634,0.141229,65.9897,0.670123,0.271818,0.33109,0.48645,0.283316,4.73529,22.2405
Wm & Mary,0.153047,0.157079,65.8242,0.715015,0.234959,0.352851,0.487179,0.226107,8.64516,20.3867
Charl South,0.165284,0.144536,68.7076,0.73365,0.233261,0.367412,0.511756,0.316337,9.25,21.0
NC-Asheville,0.15661,0.179018,70.5714,0.694841,0.302573,0.33945,0.49924,0.29932,7.46429,20.7996
Santa Clara,0.162473,0.148147,62.7171,0.67052,0.300021,0.377432,0.46367,0.258696,6.9,19.293
Jackson St,0.198718,0.180971,67.4164,0.743674,0.341795,0.34103,0.53202,0.355869,4.78125,17.8925
Delaware,0.132188,0.159072,68.3046,0.699797,0.248173,0.369301,0.486697,0.260343,6.63333,20.9844
Houston Bap,0.148432,0.180494,69.6719,0.69726,0.307956,0.378824,0.527317,0.356,4.41667,22.9648
Loyola-MD,0.152769,0.172679,65.5317,0.72973,0.310524,0.329365,0.508994,0.291796,4.93333,20.4481
New Mexico,0.162365,0.173123,64.0988,0.761955,0.237895,0.313901,0.537166,0.317621,4.77419,20.1805
Boston U,0.143138,0.171185,65.6836,0.737725,0.248137,0.373609,0.503593,0.257251,7.75862,23.6767
Arizona St,0.170343,0.179314,68.8651,0.776,0.242066,0.362235,0.527443,0.289827,6.79412,21.8244
Temple,0.161496,0.122496,67.0108,0.728296,0.242422,0.313901,0.508096,0.297381,6.35135,21.5778
E Kentucky,0.232253,0.162592,66.2024,0.658824,0.230118,0.392,0.433532,0.196952,8.77419,19.7342
Southern,0.172379,0.169932,68.6598,0.676245,0.312412,0.297794,0.490163,0.294466,4.28125,20.3449
California,0.12649,0.145588,68.3095,0.769811,0.287005,0.334047,0.50734,0.235632,5.60606,16.325
Neb Omaha,0.17976,0.159663,75.3576,0.7277,0.269426,0.375899,0.498974,0.29316,6.17857,23.3648
Georgia,0.144216,0.164462,68.1473,0.744925,0.254151,0.311747,0.529882,0.304902,5.57576,25.4351
North Dakota,0.159234,0.159279,70.3835,0.728501,0.297937,0.385621,0.469777,0.215262,6.0,20.297
Princeton,0.16379,0.171137,66.0922,0.757576,0.293221,0.369369,0.48249,0.182957,8.13793,23.7912
LIU-Brooklyn,0.155694,0.167545,71.5367,0.697183,0.255404,0.304274,0.494923,0.291384,6.5,22.04
Saint Louis,0.179799,0.191139,65.8109,0.694064,0.300242,0.357143,0.469915,0.238095,5.32258,20.3418
Ste F Austin,0.214768,0.172209,69.3851,0.725556,0.313186,0.337237,0.538892,0.36146,7.51613,24.3615
Ball State,0.160755,0.187451,66.7207,0.743429,0.294406,0.356998,0.498667,0.280363,7.68966,19.3808
Boston Col,0.163862,0.166141,66.1363,0.700954,0.286445,0.334594,0.479258,0.238562,6.46875,19.4674
St Josephs,0.163425,0.162829,66.8254,0.719298,0.227429,0.347295,0.500683,0.297217,5.3871,17.8124
Stetson,0.137469,0.161559,68.1317,0.659737,0.235725,0.3712,0.456827,0.227578,5.82143,17.9799
Marshall,0.158928,0.187214,72.18,0.69112,0.262734,0.317152,0.478109,0.269157,7.46667,17.7334
Wright State,0.172857,0.169698,66.3397,0.712531,0.285469,0.352577,0.456676,0.201622,6.31034,16.9972
Central FL,0.131292,0.169868,67.6414,0.652311,0.208497,0.355805,0.472861,0.27486,6.62069,18.1994
Niagara,0.157475,0.176086,67.5125,0.719139,0.258646,0.378521,0.501233,0.296373,6.13333,22.7118
