Name,FTO,FTD,Three_O,Three_D,REBO,REBD,REB,TOP,TOFP,POSS
Harvard,18.9491,0.297891,7.72727,0.324607,0.276276,0.704301,0.497355,0.188976,0.157091,68.125
Utah State,18.9228,0.255659,7.8125,0.347222,0.219316,0.76306,0.499107,0.162563,0.146984,72.0031
Texas State,18.9201,0.275942,6.21429,0.332143,0.25576,0.727483,0.484375,0.16124,0.187048,68.7098
Marist,18.8955,0.277606,7.72222,0.352459,0.197183,0.685121,0.454041,0.177437,0.130997,71.7396
Rob Morris,18.8792,0.27344,5.05263,0.282051,0.278519,0.692308,0.474799,0.190416,0.20508,71.3678
Wagner,18.8638,0.288447,6.0,0.328947,0.376068,0.752174,0.554814,0.187637,0.165329,68.2083
Houston,18.8446,0.247701,8.05556,0.338889,0.341727,0.706619,0.516103,0.12907,0.187054,66.9215
Nebraska,18.8424,0.236231,5.9375,0.393846,0.329331,0.715909,0.505394,0.156541,0.17603,72.6422
S Alabama,18.8314,0.26739,7.06667,0.336601,0.277264,0.703319,0.480293,0.168274,0.200343,73.99
Miami (FL),18.7862,0.179365,6.625,0.301325,0.364372,0.755179,0.555751,0.170773,0.170397,68.5344
TN Martin,18.7657,0.228702,7.61111,0.37013,0.330357,0.694079,0.521368,0.18586,0.163925,73.716
Sam Hous St,18.728,0.321881,5.6,0.338816,0.304511,0.728665,0.5,0.167008,0.202959,75.8225
Ohio,18.7262,0.225843,9.5,0.304348,0.217573,0.736347,0.496337,0.161646,0.167697,74.7616
Columbia,18.6766,0.269782,8.0,0.354232,0.237975,0.699774,0.487779,0.170954,0.151925,73.3125
Fla Atlantic,18.669,0.254588,6.71429,0.36017,0.247951,0.672764,0.467167,0.151426,0.155677,71.5473
Quinnipiac,18.6531,0.281011,7.44444,0.361186,0.3264,0.721683,0.514039,0.16493,0.15216,76.2458
Wofford,18.5838,0.311466,8.53333,0.325926,0.243011,0.714602,0.482213,0.161748,0.142578,69.9533
Sac State,18.5752,0.231838,5.07143,0.417582,0.19375,0.747863,0.459064,0.143878,0.137156,72.2929
Rutgers,18.5301,0.215278,4.11111,0.315245,0.365354,0.738636,0.549062,0.168101,0.163194,71.0556
Charl South,18.4709,0.317282,7.35714,0.386441,0.241803,0.728606,0.472279,0.15363,0.139316,71.5411
Duquesne,18.4543,0.223488,7.11111,0.348168,0.255973,0.730109,0.501391,0.178062,0.156244,74.659
San Jose St,18.4164,0.267107,6.5,0.337607,0.247934,0.75179,0.479918,0.157654,0.180454,72.5286
Oregon St,18.3155,0.276685,5.70588,0.345013,0.264151,0.6777,0.484114,0.2106,0.156229,69.6934
Florida Intl,18.2297,0.274586,5.3125,0.377301,0.277666,0.77131,0.517273,0.171965,0.151745,70.9695
McNeese St,18.2198,0.287819,6.38462,0.317269,0.222222,0.621277,0.42289,0.173641,0.152527,75.5731
N Hampshire,18.2048,0.230194,8.71429,0.344262,0.220418,0.804348,0.522051,0.180822,0.13317,68.6634
Hartford,18.1706,0.264203,8.83333,0.373297,0.20302,0.666105,0.445619,0.192564,0.166899,75.2132
Furman,18.1595,0.257567,7.875,0.30086,0.268499,0.755061,0.506542,0.167579,0.161805,68.1461
Iona,18.125,0.252912,9.55556,0.347087,0.238095,0.697674,0.479029,0.143226,0.145735,74.1764
Fairfield,18.0625,0.243589,8.26667,0.307432,0.230616,0.721707,0.486049,0.177465,0.158761,75.6633
UC Davis,18.0561,0.252463,6.52941,0.33244,0.245681,0.73743,0.5026,0.184899,0.176578,72.3235
Drake,18.0488,0.20342,8.5625,0.373057,0.273408,0.681985,0.480903,0.168815,0.160948,73.0656
Lehigh,18.0046,0.219374,8.6875,0.337047,0.231626,0.788235,0.528965,0.188065,0.157918,73.5922
N Iowa,17.9681,0.19812,8.625,0.400593,0.156977,0.741573,0.436782,0.156278,0.197294,68.5242
Richmond,17.922,0.274811,7.64706,0.30659,0.199627,0.698653,0.463333,0.16178,0.173452,71.8801
Boston Col,17.8994,0.26793,7.44444,0.300792,0.255613,0.783505,0.517885,0.190667,0.165765,75.1111
Gard-Webb,17.8764,0.279142,5.6875,0.39172,0.284906,0.727273,0.5,0.180272,0.182049,73.7703
